Most Common Modern Characters
71,当,當,dang1/dang4,"to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent"
72,没,沒,mei2/mo4,"(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate"
73,动,動,dong4,to use/to act/to move/to change
74,面,面,mian4,"fade/side/surface/aspect/top/face/flour/noodles, flour/noodles"
75,起,起,qi3,to rise/to raise/to get up
76,看,看,kan1/kan4,"to look after/to take care of/to watch/to guard, it depends/think/to see/to look at"
77,定,定,ding4,to set/to fix/to determine/to decide/to order
78,天,天,tian1,day/sky/heaven
79,分,分,fen1/fen4,"to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part"
80,还,還,hai2/huan2/huan4,"also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return"
81,进,進,jin4,advance/enter/to come in
82,好,好,hao3/hao4,"good/well, be fond of"
83,小,小,xiao3,small/tiny/few/young
84,部,部,bu4,"ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)"
85,其,其,qi2,his/her/its/theirs/that/such/it (refers to sth preceding it)
86,些,些,xie1,some/few/several/(a measure word)
87,主,主,zhu3,to own/to host/master/lord/primary
88,样,樣,yang4,manner/pattern/way/appearance/shape
89,理,理,li3,reason/logic/science/inner principle or structure
90,心,心,xin1,heart/mind
91,她,她,ta1,she
92,本,本,ben3,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
93,前,前,qian2,before/in front/ago/former/previous/earlier/front
94,开,開,kai1,open/operate (vehicle)/start
95,但,但,dan4,but/yet/however/only/merely/still
96,因,因,yin1,cause/reason/because
97,只,只,qi2/zhi1/zhi3,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only"
98,从,從,cong1/cong2/zong4,"lax/yielding/unhurried, from/obey/observe/follow, second cousin"
99,想,想,xiang3,to think/to believe/to suppose/to wish/to want/to miss
100,实,實,shi2,real/true/honest/really/solid
101,日,日,ri4,Japan/day/sun/date/day of the month
102,军,軍,1-Jun,army/military/arms
103,者,者,zhe3,"-ist, -er (person)/person (who does sth)"
104,意,意,yi4,idea/meaning/wish/desire/(abbr.) Italy
105,无,無,wu2,-less/not to have/no/none/not/to lack/un-
106,力,力,li4,power/force/strength
107,它,它,ta1,it
108,与,與,yu2/yu3/yu4,"(interrog. part.), and/to give/together with, take part in"
109,长,長,chang2/zhang3,"length/long/forever/always/constantly, chief/head/elder/to grow/to develop"
110,把,把,ba3/ba4,"(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle"
111,机,機,ji1,machine/opportunity/secret
112,十,十,shi2,ten/10
113,民,民,min2,the people/nationality/citizen
